instance_name,region,size,total_depots,total_orders,total_possible_score,total_score_achieved,score_ratio,orders_completed,orders_failed,completion_rate,total_distance_km,total_flight_time_hours,total_idle_time_hours,drone_utilization,average_delivery_time,average_assignment_time_ms,cross_depot_operations,gnn_cross_depot_decisions,future_planning_accuracy,emergency_completed,high_completed,medium_completed,low_completed,emergency_completion_rate,high_completion_rate,medium_completion_rate,low_completion_rate,model_used,gnn_predictions_made
arkansas_large_0,arkansas,large,15,400,1398,442,0.316165951,152,12,0.38,1408.841744,12.50594071,135.5833333,0.08444866,7.026243732,0.223956772,142,365,0,6,16,55,75,0.333333333,0.258064516,0.294117647,0.563909774,Enhanced_Heuristic,0
arkansas_large_1,arkansas,large,15,400,1424,397,0.278792135,143,10,0.3575,1245.061153,11.0521008,140.675,0.072841969,6.964120143,0.304026481,136,364,0,6,10,55,72,0.285714286,0.208333333,0.248868778,0.654545455,Enhanced_Heuristic,0
arkansas_large_2,arkansas,large,15,400,1340,372,0.27761194,136,13,0.34,1273.643157,11.3058162,141.0583333,0.074202601,7.347509726,0.21625674,126,364,0,1,17,60,58,0.1,0.246376812,0.310880829,0.453125,Enhanced_Heuristic,0
arkansas_large_3,arkansas,large,15,400,1464,512,0.349726776,168,14,0.42,1510.370065,13.40718258,131.9916667,0.092209688,6.612531742,0.238453786,157,363,0,8,17,65,78,0.363636364,0.265625,0.349462366,0.609375,Enhanced_Heuristic,0
arkansas_large_4,arkansas,large,15,400,1534,299,0.194915254,105,28,0.2625,892.5669116,7.92309635,151.75,0.049620735,7.197046991,0.185314686,98,348,0,5,10,32,58,0.172413793,0.166666667,0.173913043,0.456692913,Enhanced_Heuristic,0
arkansas_medium_0,arkansas,medium,10,200,762,346,0.454068241,96,22,0.48,631.8158725,5.608473682,79.25833333,0.066085598,5.043809019,0.217208702,92,171,0,5,15,45,31,0.454545455,0.441176471,0.441176471,0.58490566,Enhanced_Heuristic,0
arkansas_medium_1,arkansas,medium,10,200,704,380,0.539772727,118,16,0.59,740.0847261,6.569549594,74.50833333,0.081027641,4.719769546,0.094290661,112,175,0,3,18,56,41,0.375,0.545454545,0.577319588,0.661290323,Enhanced_Heuristic,0
arkansas_medium_2,arkansas,medium,10,200,774,414,0.534883721,124,13,0.62,789.7203232,7.010152548,71.96666667,0.088762153,4.961275566,0.126210126,119,181,0,6,14,61,43,0.428571429,0.5,0.580952381,0.811320755,Enhanced_Heuristic,0
arkansas_medium_3,arkansas,medium,10,200,674,325,0.482195846,115,11,0.575,687.3730801,6.101641312,75.95,0.074363428,4.681417165,0.094116049,105,174,0,3,11,51,50,0.375,0.392857143,0.525773196,0.746268657,Enhanced_Heuristic,0
arkansas_medium_4,arkansas,medium,10,200,746,289,0.387399464,89,25,0.445,577.7632955,5.128662287,81.73333333,0.0590438,4.983559881,0.073126384,80,156,0,5,11,32,41,0.357142857,0.35483871,0.390243902,0.561643836,Enhanced_Heuristic,0
