instance_name,region,size,total_depots,total_orders,total_possible_score,total_score_achieved,score_ratio,orders_completed,orders_failed,completion_rate,total_distance_km,total_flight_time_hours,total_idle_time_hours,drone_utilization,average_delivery_time,average_assignment_time_ms,cross_depot_assignments,emergency_completed,high_completed,medium_completed,low_completed,emergency_completion_rate,high_completion_rate,medium_completion_rate,low_completion_rate
arkansas_small_0,arkansas,small,5,100,386,314,0.813471503,82,4,0.82,291.4077885,2.586755072,27.4,0.086263254,2.980666659,0.060789287,87,6,12,38,26,0.857142857,0.75,0.826086957,0.838709677
arkansas_small_1,arkansas,small,5,100,364,263,0.722527473,77,7,0.77,256.098804,2.273325924,28.23333333,0.074519006,3.603673116,0.0547568,80,0,19,36,22,0,0.904761905,0.75,0.785714286
arkansas_small_2,arkansas,small,5,100,396,237,0.598484848,67,13,0.67,221.8584056,1.969382352,30.15833333,0.061298549,3.090807986,0.028144354,78,2,13,32,20,0.333333333,0.65,0.695652174,0.714285714
arkansas_small_3,arkansas,small,5,100,396,286,0.722222222,84,8,0.84,274.1638218,2.433684632,27.51666667,0.081257298,2.930301582,0.053146611,80,3,16,32,33,0.5,0.695652174,0.864864865,0.970588235
arkansas_small_4,arkansas,small,5,100,370,262,0.708108108,76,6,0.76,252.4059818,2.240545652,28.28333333,0.073403045,3.388398605,0.057720123,88,5,8,34,29,0.714285714,0.615384615,0.723404255,0.878787879
north_carolina_small_0,north_carolina,small,5,100,332,241,0.725903614,77,8,0.77,256.039616,2.272800527,27.3,0.076854423,2.898236562,0.076882217,90,3,11,28,35,1,0.55,0.8,0.833333333
north_carolina_small_1,north_carolina,small,5,100,384,188,0.489583333,56,29,0.56,218.9059123,1.943173797,31.43333333,0.058219807,3.801077392,0.013982746,60,2,9,25,20,0.333333333,0.5625,0.480769231,0.769230769
north_carolina_small_2,north_carolina,small,5,100,390,328,0.841025641,90,1,0.9,290.4949041,2.578651622,25.825,0.090785919,2.817534224,0.041846073,90,5,14,42,29,0.714285714,0.875,0.875,1
north_carolina_small_3,north_carolina,small,5,100,426,320,0.751173709,84,3,0.84,285.1951241,2.531606782,26.44166667,0.087377313,2.870616835,0.048293281,89,7,12,33,32,0.636363636,0.8,0.804878049,0.96969697
north_carolina_small_4,north_carolina,small,5,100,312,221,0.708333333,75,13,0.75,274.400755,2.435787829,27.16666667,0.082283306,3.311446707,0.093002429,76,2,7,38,28,1,0.538461538,0.716981132,0.875
texas_small_0,texas,small,5,100,286,189,0.660839161,73,10,0.73,240.7996515,2.13751912,28.45833333,0.069863035,2.919964472,0.108125475,84,1,6,33,33,0.5,0.6,0.673469388,0.846153846
texas_small_1,texas,small,5,100,358,223,0.622905028,71,8,0.71,242.7587746,2.154909773,28.5,0.070295747,2.91793913,0.02176347,82,1,11,36,23,0.25,0.647058824,0.72,0.793103448
texas_small_2,texas,small,5,100,374,253,0.676470588,75,15,0.75,254.812866,2.26191097,27.84166667,0.075137613,3.324179383,0.102735968,81,3,11,35,26,0.5,0.733333333,0.7,0.896551724
texas_small_3,texas,small,5,100,308,223,0.724025974,73,7,0.73,248.8789706,2.209237244,28.875,0.07107259,3.45678966,0.04788368,80,3,5,39,26,1,0.625,0.661016949,0.866666667
texas_small_4,texas,small,5,100,358,265,0.740223464,77,9,0.77,250.7221532,2.225598721,27.80833333,0.074102809,3.117738728,0.116956103,86,3,12,37,25,0.6,0.857142857,0.711538462,0.862068966
utah_small_0,utah,small,5,100,372,264,0.709677419,78,6,0.78,263.7587109,2.341321029,27.19166667,0.079278164,2.975399677,0.021302954,81,5,8,34,31,0.833333333,0.470588235,0.790697674,0.911764706
utah_small_1,utah,small,5,100,356,188,0.528089888,66,15,0.66,225.0770645,1.997953593,30.20833333,0.062036136,3.676516056,0.049397525,70,1,5,39,21,0.2,0.416666667,0.684210526,0.807692308
utah_small_2,utah,small,5,100,408,287,0.703431373,73,11,0.73,236.2241982,2.09690395,28.475,0.06858925,3.045547354,0.034450145,84,5,13,33,22,0.714285714,0.684210526,0.6875,0.846153846
utah_small_3,utah,small,5,100,348,259,0.744252874,79,8,0.79,257.9117769,2.289419238,27.25833333,0.077482009,2.836250498,0.052602395,79,4,8,38,29,0.8,0.615384615,0.76,0.90625
utah_small_4,utah,small,5,100,366,231,0.631147541,73,7,0.73,256.0851685,2.273204885,28.84166667,0.073058469,3.447538093,0.036519061,80,3,9,31,30,0.6,0.5,0.704545455,0.909090909
arkansas_medium_0,arkansas,medium,10,200,762,449,0.589238845,131,12,0.655,872.8428335,7.748010574,70.15833333,0.099452884,4.651566927,0.136549168,172,5,19,67,40,0.454545455,0.558823529,0.656862745,0.754716981
arkansas_medium_1,arkansas,medium,10,200,704,237,0.336647727,81,24,0.405,510.0393276,4.527493326,83.5,0.051432719,5.605202364,0.133601102,164,2,10,34,35,0.25,0.303030303,0.350515464,0.564516129
arkansas_medium_2,arkansas,medium,10,200,774,301,0.388888889,99,16,0.495,668.79206,5.936702179,78.34166667,0.070441589,5.40448416,0.096181165,177,3,11,47,38,0.214285714,0.392857143,0.447619048,0.716981132
arkansas_medium_3,arkansas,medium,10,200,674,283,0.419881306,97,18,0.485,634.219727,5.629812106,79.20833333,0.066359443,5.16393494,0.210518365,168,4,9,38,46,0.5,0.321428571,0.391752577,0.686567164
arkansas_medium_4,arkansas,medium,10,200,746,349,0.467828418,109,16,0.545,738.5517872,6.555942074,75.56666667,0.079831147,5.008854144,0.14500903,166,7,10,41,51,0.5,0.322580645,0.5,0.698630137
north_carolina_medium_0,north_carolina,medium,10,200,726,360,0.495867769,110,10,0.55,741.2050156,6.579494128,75.03333333,0.080618382,4.959850109,0.100529821,168,5,11,57,37,0.5,0.423076923,0.495652174,0.755102041
north_carolina_medium_1,north_carolina,medium,10,200,712,391,0.549157303,121,3,0.605,820.6920652,7.285081065,72.78333333,0.090985704,5.243757589,0.108346116,179,4,14,65,38,0.666666667,0.411764706,0.580357143,0.791666667
north_carolina_medium_2,north_carolina,medium,10,200,698,436,0.624641834,140,9,0.7,892.698323,7.924262857,68.34166667,0.103903052,4.630502466,0.10316659,180,6,15,61,58,0.545454545,0.625,0.61,0.892307692
north_carolina_medium_3,north_carolina,medium,10,200,744,343,0.461021505,115,18,0.575,718.8897893,6.381407367,76.23333333,0.077242963,5.03081137,0.086667773,173,4,13,47,51,0.307692308,0.448275862,0.5,0.796875
north_carolina_medium_4,north_carolina,medium,10,200,676,390,0.576923077,122,7,0.61,811.9489445,7.207470538,71.76666667,0.091263682,4.901646491,0.185350062,176,5,14,57,46,1,0.4,0.581632653,0.741935484
texas_medium_0,texas,medium,10,200,776,308,0.396907216,92,28,0.46,602.6594867,5.349659636,80.05,0.062642634,5.498462393,0.151189261,158,4,14,38,36,0.307692308,0.424242424,0.387755102,0.642857143
texas_medium_1,texas,medium,10,200,664,278,0.418674699,98,8,0.49,648.0579895,5.752650949,78,0.068686195,5.247564788,0.102947156,179,4,9,35,50,0.444444444,0.36,0.372340426,0.694444444
texas_medium_2,texas,medium,10,200,738,259,0.350948509,99,13,0.495,684.6616373,6.077572504,77.73333333,0.072515294,5.496673612,0.160904492,178,0,12,44,43,0,0.375,0.458333333,0.704918033
texas_medium_3,texas,medium,10,200,722,463,0.641274238,131,7,0.655,859.3107408,7.627889523,70.21666667,0.097988734,4.678659607,0.189508181,176,8,19,53,51,0.727272727,0.575757576,0.623529412,0.718309859
